LATITUDE,LONGITUDE,EQ_MAGNITUDE,EQ_DEPTH,CAUSE,TS_INTENSITY
40.402,-125.68,7.0,10.0,0,-3.0
51.934,158.64700000000002,7.0,34.0,0,-3.0
39.419,143.33,7.0,29.0,0,-0.5
45.533,151.02100000000002,7.6,24.0,0,0.5
-9.094,158.442,7.2,23.0,0,-2.5
44.117,148.192,7.2,44.0,0,-2.0
-4.056,127.924,6.9,17.0,0,1.5
33.826,139.434,6.4,22.0,0,-1.0
43.53,146.753,7.0,44.0,0,-2.0
22.282,121.512,7.4,17.0,0,-1.0
-25.856,-175.40599999999998,7.2,33.0,0,-3.0
-1.081,146.23,5.5,33.0,0,-0.5
44.915,149.123,7.0,41.0,0,-2.5
43.024,147.734,7.0,15.0,0,2.0
43.2,146.7,6.7,43.0,0,-1.0
-7.5,155.9,7.0,34.0,0,1.0
-6.5,146.6,7.0,115.0,1,0.5
46.4,141.1,6.6,6.0,0,-3.0
41.4,143.5,7.3,51.0,0,-0.5
51.228,-177.173,7.1,30.0,0,-3.0
32.2,132.1,6.5,41.0,0,-3.0
33.3,132.2,6.5,10.0,0,0.0
30.568,131.093,6.6,10.0,0,-2.5
36.964,3.634,6.8,12.0,0,1.5
18.77,-104.104,7.5,24.0,0,0.5
-1.757,134.297,7.6,10.0,0,2.82
-3.26,142.94,7.6,13.0,0,1.08
-17.6,167.856,7.2,21.0,0,-4.14
54.841,162.035,7.8,33.0,0,0.5
-12.584,166.676,7.7,33.0,0,-2.0
-14.993,-75.675,7.7,33.0,0,-1.0
51.56399999999999,-177.632,7.9,33.0,0,0.5
44.663,149.3,7.9,33.0,0,0.5
16.779,-98.597,7.4,23.0,0,-1.0
-5.799,154.178,7.7,30.0,0,-1.5
-23.34,-70.294,8.0,46.0,0,1.5
38.401,22.283,6.5,14.0,1,3.0
52.629,142.827,7.1,11.0,0,-2.0
-23.008000000000003,169.9,7.7,20.0,0,-2.0
-15.199000000000002,-173.52900000000002,7.4,21.0,0,-1.5
34.583,135.018,6.9,22.0,0,-2.0
43.773,147.321,8.3,14.0,0,2.6
1.015,127.733,7.0,20.0,0,1.5
34.213,-118.537,6.7,18.0,0,-3.0
51.218,157.829,7.5,71.0,0,-0.5
37.634,137.245,6.3,11.0,0,-0.5
40.368,-124.316,7.2,15.0,0,0.5
